categoria_es,categoria_pl,palabra_es,palabra_pl
"La Familia","Rodzina","la madre","matka"
"La Familia","Rodzina","el padre","ojciec"
"La Familia","Rodzina","el hijo","syn"
"La Familia","Rodzina","la hija","córka"
"La Familia","Rodzina","el hermano","brat"
"La Familia","Rodzina","la hermana","siostra"
"La Familia","Rodzina","el abuelo","dziadek"
"La Familia","Rodzina","la abuela","babcia"
"La Familia","Rodzina","el nieto","wnuk"
"La Familia","Rodzina","la nieta","wnuczka"
"La Familia","Rodzina","el tío","wujek"
"La Familia","Rodzina","la tía","ciocia"
"La Familia","Rodzina","el primo","kuzyn"
"La Familia","Rodzina","la prima","kuzynka"
"La Familia","Rodzina","el sobrino","siostrzeniec/bratanek"
"La Familia","Rodzina","la sobrina","siostrzenica/bratanica"
"La Familia","Rodzina","el esposo","mąż"
"La Familia","Rodzina","la esposa","żona"
"La Familia","Rodzina","el marido","mąż"
"La Familia","Rodzina","la mujer","kobieta/żona"
"La Familia","Rodzina","el suegro","teść"
"La Familia","Rodzina","la suegra","teściowa"
"La Familia","Rodzina","el yerno","zięć"
"La Familia","Rodzina","la nuera","synowa"
"La Familia","Rodzina","el cuñado","szwagier"
"La Familia","Rodzina","la cuñada","szwagierka"
"La Familia","Rodzina","el padrastro","ojczym"
"La Familia","Rodzina","la madrastra","macocha"
"La Familia","Rodzina","el hijastro","pasierb"
"La Familia","Rodzina","la hijastra","pasierbica"
"La Familia","Rodzina","el hermanastro","przyrodni brat"
"La Familia","Rodzina","la hermanastra","przyrodnia siostra"
"La Familia","Rodzina","el padrino","ojciec chrzestny"
"La Familia","Rodzina","la madrina","matka chrzestna"
"La Familia","Rodzina","el ahijado","chrześniak"
"La Familia","Rodzina","la ahijada","chrześniaczka"
"La Familia","Rodzina","los padres","rodzice"
"La Familia","Rodzina","los hijos","dzieci"
"La Familia","Rodzina","los abuelos","dziadkowie"
"La Familia","Rodzina","los suegros","teściowie"
"La Familia","Rodzina","el pariente","krewny"
"La Familia","Rodzina","la parienta","krewna"
"La Familia","Rodzina","el huérfano","sierota (chłopiec)"
"La Familia","Rodzina","la huérfana","sierota (dziewczynka)"
"La Familia","Rodzina","los gemelos","bliźniacy"
"La Familia","Rodzina","las gemelas","bliźniaczki"
"La Familia","Rodzina","el primogénito","pierworodny"
"La Familia","Rodzina","la familia política","rodzina ze strony męża/żony"
"La Familia","Rodzina","el antepasado","przodek"
"La Familia","Rodzina","la descendencia","potomstwo"
"El Cuerpo Humano","Ciało ludzkie","la cabeza","głowa"
"El Cuerpo Humano","Ciało ludzkie","el pelo","włosy"
"El Cuerpo Humano","Ciało ludzkie","la cara","twarz"
"El Cuerpo Humano","Ciało ludzkie","la frente","czoło"
"El Cuerpo Humano","Ciało ludzkie","el ojo","oko"
"El Cuerpo Humano","Ciało ludzkie","la ceja","brew"
"El Cuerpo Humano","Ciało ludzkie","la pestaña","rzęsa"
"El Cuerpo Humano","Ciało ludzkie","la nariz","nos"
"El Cuerpo Humano","Ciało ludzkie","la boca","usta"
"El Cuerpo Humano","Ciało ludzkie","el labio","warga"
"El Cuerpo Humano","Ciało ludzkie","el diente","ząb"
"El Cuerpo Humano","Ciało ludzkie","la lengua","język"
"El Cuerpo Humano","Ciało ludzkie","la oreja","ucho (zewnętrzne)"
"El Cuerpo Humano","Ciało ludzkie","el oído","ucho (wewnętrzne)"
"El Cuerpo Humano","Ciało ludzkie","la mejilla","policzek"
"El Cuerpo Humano","Ciało ludzkie","la barbilla","broda (część twarzy)"
"El Cuerpo Humano","Ciało ludzkie","el cuello","szyja"
"El Cuerpo Humano","Ciało ludzkie","la garganta","gardło"
"El Cuerpo Humano","Ciało ludzkie","el hombro","ramię (staw)"
"El Cuerpo Humano","Ciało ludzkie","el brazo","ręka (od ramienia do dłoni)"
"El Cuerpo Humano","Ciało ludzkie","el codo","łokieć"
"El Cuerpo Humano","Ciało ludzkie","la muñeca","nadgarstek"
"El Cuerpo Humano","Ciało ludzkie","la mano","dłoń"
"El Cuerpo Humano","Ciało ludzkie","el dedo","palec (u ręki)"
"El Cuerpo Humano","Ciało ludzkie","la uña","paznokieć"
"El Cuerpo Humano","Ciało ludzkie","el pecho","klatka piersiowa"
"El Cuerpo Humano","Ciało ludzkie","el corazón","serce"
"El Cuerpo Humano","Ciało ludzkie","el estómago","żołądek"
"El Cuerpo Humano","Ciało ludzkie","la barriga","brzuch"
"El Cuerpo Humano","Ciało ludzkie","el ombligo","pępek"
"El Cuerpo Humano","Ciało ludzkie","la espalda","plecy"
"El Cuerpo Humano","Ciało ludzkie","la columna vertebral","kręgosłup"
"El Cuerpo Humano","Ciało ludzkie","la cintura","talia"
"El Cuerpo Humano","Ciało ludzkie","la cadera","biodro"
"El Cuerpo Humano","Ciało ludzkie","el trasero","pośladki"
"El Cuerpo Humano","Ciało ludzkie","la pierna","noga"
"El Cuerpo Humano","Ciało ludzkie","el muslo","udo"
"El Cuerpo Humano","Ciało ludzkie","la rodilla","kolano"
"El Cuerpo Humano","Ciało ludzkie","el tobillo","kostka"
"El Cuerpo Humano","Ciało ludzkie","el pie","stopa"
"El Cuerpo Humano","Ciało ludzkie","el dedo del pie","palec u nogi"
"El Cuerpo Humano","Ciało ludzkie","el talón","pięta"
"El Cuerpo Humano","Ciało ludzkie","la piel","skóra"
"El Cuerpo Humano","Ciało ludzkie","el hueso","kość"
"El Cuerpo Humano","Ciało ludzkie","el músculo","mięsień"
"El Cuerpo Humano","Ciało ludzkie","la sangre","krew"
"El Cuerpo Humano","Ciało ludzkie","la vena","żyła"
"El Cuerpo Humano","Ciało ludzkie","el pulmón","płuco"
"El Cuerpo Humano","Ciało ludzkie","el cerebro","mózg"
"El Cuerpo Humano","Ciało ludzkie","el hígado","wątroba"
"La Ciudad","Miasto","la ciudad","miasto"
"La Ciudad","Miasto","el pueblo","wioska/miasteczko"
"La Ciudad","Miasto","el centro","centrum"
"La Ciudad","Miasto","el barrio","dzielnica"
"La Ciudad","Miasto","las afueras","przedmieścia"
"La Ciudad","Miasto","la calle","ulica"
"La Ciudad","Miasto","la avenida","aleja"
"La Ciudad","Miasto","la plaza","plac"
"La Ciudad","Miasto","el parque","park"
"La Ciudad","Miasto","el jardín","ogród"
"La Ciudad","Miasto","el edificio","budynek"
"La Ciudad","Miasto","el rascacielos","drapacz chmur"
"La Ciudad","Miasto","la casa","dom"
